prompt,classname,classidx
a photo of a AM General Hummer SUV 2000.,AM General Hummer SUV 2000,0
a photo of a Acura RL Sedan 2012.,Acura RL Sedan 2012,1
a photo of a Acura TL Sedan 2012.,Acura TL Sedan 2012,2
a photo of a Acura TL Type-S 2008.,Acura TL Type-S 2008,3
a photo of a Acura TSX Sedan 2012.,Acura TSX Sedan 2012,4
a photo of a Acura Integra Type R 2001.,Acura Integra Type R 2001,5
a photo of a Acura ZDX Hatchback 2012.,Acura ZDX Hatchback 2012,6
a photo of a Aston Martin V8 Vantage Convertible 2012.,Aston Martin V8 Vantage Convertible 2012,7
a photo of a Aston Martin V8 Vantage Coupe 2012.,Aston Martin V8 Vantage Coupe 2012,8
a photo of a Aston Martin Virage Convertible 2012.,Aston Martin Virage Convertible 2012,9
a photo of a Aston Martin Virage Coupe 2012.,Aston Martin Virage Coupe 2012,10
a photo of a Audi RS 4 Convertible 2008.,Audi RS 4 Convertible 2008,11
a photo of a Audi A5 Coupe 2012.,Audi A5 Coupe 2012,12
a photo of a Audi TTS Coupe 2012.,Audi TTS Coupe 2012,13
a photo of a Audi R8 Coupe 2012.,Audi R8 Coupe 2012,14
a photo of a Audi V8 Sedan 1994.,Audi V8 Sedan 1994,15
a photo of a Audi 100 Sedan 1994.,Audi 100 Sedan 1994,16
a photo of a Audi 100 Wagon 1994.,Audi 100 Wagon 1994,17
a photo of a Audi TT Hatchback 2011.,Audi TT Hatchback 2011,18
a photo of a Audi S6 Sedan 2011.,Audi S6 Sedan 2011,19
a photo of a Audi S5 Convertible 2012.,Audi S5 Convertible 2012,20
a photo of a Audi S5 Coupe 2012.,Audi S5 Coupe 2012,21
a photo of a Audi S4 Sedan 2012.,Audi S4 Sedan 2012,22
a photo of a Audi S4 Sedan 2007.,Audi S4 Sedan 2007,23
a photo of a Audi TT RS Coupe 2012.,Audi TT RS Coupe 2012,24
a photo of a BMW ActiveHybrid 5 Sedan 2012.,BMW ActiveHybrid 5 Sedan 2012,25
a photo of a BMW 1 Series Convertible 2012.,BMW 1 Series Convertible 2012,26
a photo of a BMW 1 Series Coupe 2012.,BMW 1 Series Coupe 2012,27
a photo of a BMW 3 Series Sedan 2012.,BMW 3 Series Sedan 2012,28
a photo of a BMW 3 Series Wagon 2012.,BMW 3 Series Wagon 2012,29
